EntraIDOperationName,MicrosoftGraphRequestUri,RequestMethod,EntraIDOperationVersion
"Add a Connector to Connector Group","https://graph.microsoft.com/beta/onPremisesPublishingProfiles('applicationProxy')/connectorGroups/<UUID>/members/$ref",POST,"1.0"
"Add application SSL certificate","https://graph.microsoft.com/beta/applications/<UUID>",PATCH,"1.0"
"Add application SSL certificate","https://graph.microsoft.com/edu/applications/<UUID>",PATCH,"1.0"
"Add application","https://graph.microsoft.com/beta/applications/<UUID>/onPremisesPublishing",PATCH,"1.0"
"Add application","https://graph.microsoft.com/edu/applications/<UUID>",PATCH,"1.0"
"Add AuthenticationContextClassReference","https://graph.microsoft.com/beta/identity/conditionalAccess/authenticationContextClassReferences",POST,"1.0"
"Add AuthenticationContextClassReference","https://graph.microsoft.com/v1.0/<UUID>/identity/auxStore/authenticationContextClassReference/instances",POST,"1.0"
"Add AuthenticationContextClassReference","https://graph.microsoft.com/v1.0/<UUID>/identity/auxStore/authenticationContextClassReference/instances/c1:<UUID>",PUT,"1.0"
"Add conditional access policy","https://graph.microsoft.com/beta/identity/conditionalAccess/policies",POST,"1.0"
"Add conditional access policy","https://graph.microsoft.com/v1.0/identity/conditionalAccess/policies",POST,"1.0"
"Add Connector Group","https://graph.microsoft.com/beta/onPremisesPublishingProfiles('applicationProxy')/connectorGroups",POST,"1.0"
"Add named location","https://graph.microsoft.com/beta/conditionalAccess/namedLocations",POST,"1.0"
"Add Passkey (device-bound)","https://graph.microsoft.com/beta/users/<UUID>/authentication/fido2Methods/",POST,"1.0"
"Admin deleted security info","https://graph.microsoft.com/beta/users/<UUID>/authentication/emailMethods/<UUID>",DELETE,"1.0"
"Admin deleted security info","https://graph.microsoft.com/beta/users/<UUID>/authentication/fido2Methods/<ID>",DELETE,"1.0"
"Admin deleted security info","https://graph.microsoft.com/beta/users/<UUID>/authentication/methods/resetTraditionalAuthenticationMethods",POST,"1.0"
"Admin deleted security info","https://graph.microsoft.com/beta/users/<UUID>/authentication/microsoftAuthenticatorMethods/<UUID>",DELETE,"1.0"
"Admin deleted security info","https://graph.microsoft.com/beta/users/<UUID>/authentication/phoneMethods/<UUID>",DELETE,"1.0"
"Admin deleted security info","https://graph.microsoft.com/beta/users/<UUID>/authentication/softwareOathMethods/<UUID>",DELETE,"1.0"
"Admin deleted security info","https://graph.microsoft.com/beta/users/<UUID>/authentication/temporaryAccessPassMethods/<UUID>",DELETE,"1.0"
"Admin deleted security info","https://graph.microsoft.com/beta/users/<UUID>/authentication/windowsHelloForBusinessMethods/<ID>",DELETE,"1.0"
"Admin deleted security info","https://graph.microsoft.com/v1.0/users/<UUID>/checkMemberGroups",POST,"1.0"
"Admin deleted security info","https://graph.microsoft.com/v1.0/users/<UUID>/checkMemberObjects",POST,"1.0"
"Admin registered security info","https://graph.microsoft.com/beta/users/<UUID>/authentication/phoneMethods",POST,"1.0"
"Admin registered security info","https://graph.microsoft.com/beta/users/<UUID>/authentication/temporaryAccessPassMethods",POST,"1.0"
"Admin registered security info","https://graph.microsoft.com/v1.0/users/<UUID>/checkMemberGroups",POST,"1.0"
"Admin registered security info","https://graph.microsoft.com/v1.0/users/<UUID>/checkMemberObjects",POST,"1.0"
"Admin updated security info","https://graph.microsoft.com/beta/users/<UUID>/authentication/phoneMethods/<UUID>",PUT,"1.0"
"Admin updated security info","https://graph.microsoft.com/v1.0/users/<UUID>/checkMemberGroups",POST,"1.0"
"Admin updated security info","https://graph.microsoft.com/v1.0/users/<UUID>/checkMemberObjects",POST,"1.0"
"Approve access package assignment request","https://graph.microsoft.com/beta/groups/<UUID>/members/$ref",POST,"1.0"
"Authentication Methods Policy Update","https://graph.microsoft.com/beta/policies/authenticationmethodspolicy/authenticationMethodConfigurations/Fido<ID>",PATCH,"1.0"
"Authentication Methods Policy Update","https://graph.microsoft.com/beta/policies/authenticationmethodspolicy/authenticationMethodConfigurations/TemporaryAccessPass",PATCH,"1.0"
"Authentication Methods Policy Update","https://graph.microsoft.com/v1.0/internal/policies/userCredentialPolicies/<UUID>",PATCH,"1.0"
"Authentication Strength Policy Create","https://graph.microsoft.com/beta/identity/conditionalAccess/authenticationStrength/policies/",POST,"1.0"
"Authentication Strength Policy Create","https://graph.microsoft.com/beta/internal/policies/authenticationStrengthPolicies/",POST,"1.0"
"Authentication Strength Policy Create","https://graph.microsoft.com/beta/internal/policies/authenticationStrengthPolicies/<UUID>",PATCH,"1.0"
"Authentication Strength Policy Update","https://graph.microsoft.com/beta/identity/conditionalAccess/authenticationStrength/policies/<UUID>",PATCH,"1.0"
"Authentication Strength Policy Update","https://graph.microsoft.com/beta/identity/conditionalAccess/authenticationStrength/policies/<UUID>/updateAllowedCombinations",POST,"1.0"
"Authentication Strength Policy Update","https://graph.microsoft.com/beta/internal/policies/authenticationStrengthPolicies/<UUID>",PATCH,"1.0"
"Change password (self-service)","https://graph.microsoft.com/beta/directory/redeemInvitation",POST,"1.0"
"Change password (self-service)","https://graph.microsoft.com/beta/roleManagement/directory/estimateAccess",POST,"1.0"
"Change password (self-service)","https://graph.microsoft.com/beta/users/<UUID>/changePassword",POST,"1.0"
"ConfirmAccountCompromised","https://graph.microsoft.com/beta/identityProtection/riskyUsers/confirmCompromised",POST,"1.0"
"ConfirmAccountCompromised","https://graph.microsoft.com/v1.0/users/microsoft.graph.getByIds",POST,"1.0"
"ConfirmAccountSafe","https://graph.microsoft.com/beta/identityProtection/riskyUsers/confirmSafe",POST,"1.0"
"ConfirmAccountSafe","https://graph.microsoft.com/v1.0/users/microsoft.graph.getByIds",POST,"1.0"
"Create access package assignment policy","https://graph.microsoft.com/beta/directoryObjects/getByIds",POST,"1.0"
"Create access package assignment policy","https://graph.microsoft.com/v1.0/directoryObjects/getByIds",POST,"1.0"
"Create access package","https://graph.microsoft.com/beta/directoryObjects/getByIds",POST,"1.0"
"Create access package","https://graph.microsoft.com/v1.0/directoryObjects/getByIds",POST,"1.0"
"Create business flow","https://graph.microsoft.com/beta/directoryObjects/getByIds",POST,"1.0"
"Create business flow","https://graph.microsoft.com/v1.0/directoryObjects/getByIds",POST,"1.0"
"Create request","https://graph.microsoft.com/beta/groups/<UUID>/members/$ref",POST,"1.0"
"Delete application","https://graph.microsoft.com/beta/applications/<UUID>",PATCH,"1.0"
"Delete application","https://graph.microsoft.com/edu/applications/<UUID>",PATCH,"1.0"
"Delete conditional access policy","https://graph.microsoft.com/v1.0/identity/conditionalAccess/policies/<UUID>",DELETE,"1.0"
"Delete Connector Group","https://graph.microsoft.com/beta/onPremisesPublishingProfiles/applicationProxy/connectorGroups/<UUID>",DELETE,"1.0"
"Delete passwordless phone sign-in credential","https://graph.microsoft.com/beta/users/<UUID>/authentication/methods/resetTraditionalAuthenticationMethods",POST,"1.0"
"Delete passwordless phone sign-in credential","https://graph.microsoft.com/beta/users/<UUID>/authentication/microsoftAuthenticatorMethods/<UUID>",DELETE,"1.0"
"Delete passwordless phone sign-in credential","https://graph.microsoft.com/v1.0/users/<UUID>/checkMemberGroups",POST,"1.0"
"Delete passwordless phone sign-in credential","https://graph.microsoft.com/v1.0/users/<UUID>/checkMemberObjects",POST,"1.0"
"Delete platform credential","https://graph.microsoft.com/beta/users/<UUID>/authentication/fido2Methods/<ID>",DELETE,"1.0"
"Delete Windows Hello for Business credential","https://graph.microsoft.com/beta/users/<UUID>/authentication/windowsHelloForBusinessMethods/<ID>",DELETE,"1.0"
"DismissUser","https://graph.microsoft.com/beta/identityProtection/riskyUsers/dismiss",POST,"1.0"
"DismissUser","https://graph.microsoft.com/v1.0/users/microsoft.graph.getByIds",POST,"1.0"
"Fulfill access package assignment request","https://graph.microsoft.com/beta/groups/<UUID>/members/$ref",POST,"1.0"
"Fulfill access package resource assignment","https://graph.microsoft.com/beta/groups/<UUID>/members/$ref",POST,"1.0"
"Invite external user with reset invitation status","https://graph.microsoft.com/v1.0/invitations",POST,"1.0"
"Invite external user with reset invitation status","https://graph.microsoft.com/v1.0/organization/<UUID>/isDirectoryFeatureEnabled",POST,"1.0"
"Invite external user","https://agsmtlscert.graph.microsoft.com/v1.0/invitations",POST,"1.0"
"Invite external user","https://graph.microsoft.com/beta/users/<UUID>",PATCH,"1.0"
"Invite external user","https://graph.microsoft.com/v1.0/<UUID>/invitations",POST,"1.0"
"Invite external user","https://graph.microsoft.com/v1.0/invitations",POST,"1.0"
"Invite external user","https://graph.microsoft.com/v1.0/organization/<UUID>/isDirectoryFeatureEnabled",POST,"1.0"
"PATCH UserAuthMethod.PatchSignInPreferencesAsync","https://graph.microsoft.com/beta/users/<UUID>/authentication/signInPreferences",PATCH,"1.0"
"PATCH UserAuthMethod.PatchSignInPreferencesAsync","https://graph.microsoft.com/v1.0/users/<UUID>/checkMemberGroups",POST,"1.0"
"PATCH UserAuthMethod.PatchSignInPreferencesAsync","https://graph.microsoft.com/v1.0/users/<UUID>/checkMemberObjects",POST,"1.0"
"Ready to fulfill access package assignment request","https://graph.microsoft.com/beta/groups/<UUID>/members/$ref",POST,"1.0"
"Redeem external user invite","https://graph.microsoft.com/beta/directory/redeemInvitation",POST,"1.0"
"Remove member from role (PIM activation expired)","https://graph.microsoft.com/beta/roleManagement/directory/roleAssignments/<ID>",DELETE,"1.0"
"Request approved","https://graph.microsoft.com/v1.0/users/<UUID>/microsoft.graph.getMemberGroups",POST,"1.0"
"Reset password (self-service)","https://graph.microsoft.com/beta/users/<UUID>/authentication/passwordMethods/<UUID>/resetPassword",POST,"1.0"
"Reset password (self-service)","https://graph.microsoft.com/v1.0/users/<UPN>",PATCH,"1.0"
"Restore multifactor authentication on all remembered devices","https://graph.microsoft.com/beta/users/<UUID>/authentication",PATCH,"1.0"
"Self-service password reset flow activity progress","https://graph.microsoft.com/v1.0/users/<UUID>/checkMemberGroups",POST,"1.0"
"Self-service password reset flow activity progress","https://graph.microsoft.com/v1.0/users/<UUID>/checkMemberObjects",POST,"1.0"
"Set device registration policies","https://graph.microsoft.com/beta/policies/deviceRegistrationPolicy",PUT,"1.0"
"Update access package assignment policy","https://graph.microsoft.com/beta/directoryObjects/getByIds",POST,"1.0"
"Update access package assignment policy","https://graph.microsoft.com/v1.0/directoryObjects/getByIds",POST,"1.0"
"Update access package assignment request","https://graph.microsoft.com/beta/groups/<UUID>/members/$ref",POST,"1.0"
"Update application","https://graph.microsoft.com/beta/applications('<UUID>')/onPremisesPublishing/segmentsConfiguration/microsoft.graph.IpSegmentConfiguration/ApplicationSegments",POST,"1.0"
"Update application","https://graph.microsoft.com/beta/applications('<UUID>')/onPremisesPublishing/segmentsConfiguration/microsoft.graph.IpSegmentConfiguration/ApplicationSegments('<UUID>')",DELETE,"1.0"
"Update application","https://graph.microsoft.com/beta/applications('<UUID>')/onPremisesPublishing/segmentsConfiguration/microsoft.graph.IpSegmentConfiguration/ApplicationSegments('<UUID>')",PATCH,"1.0"
"Update application","https://graph.microsoft.com/beta/applications/<UUID>",PATCH,"1.0"
"Update application","https://graph.microsoft.com/beta/applications/<UUID>/connectorGroup/$ref",PUT,"1.0"
"Update application","https://graph.microsoft.com/beta/applications/<UUID>/onPremisesPublishing",PATCH,"1.0"
"Update application","https://graph.microsoft.com/beta/networkaccess/privateAccessConfigs('<UUID>')",PUT,"1.0"
"Update application","https://graph.microsoft.com/edu/applications/<UUID>",PATCH,"1.0"
"Update business flow","https://graph.microsoft.com/beta/directoryObjects/getByIds",POST,"1.0"
"Update business flow","https://graph.microsoft.com/v1.0/directoryObjects/getByIds",POST,"1.0"
"Update conditional access policy","https://graph.microsoft.com/beta/identity/conditionalAccess/policies/<UUID>",PATCH,"1.0"
"Update conditional access policy","https://graph.microsoft.com/v1.0/identity/conditionalAccess/policies/<UUID>",PATCH,"1.0"
"Update device local administrator password","https://graph.microsoft.com/beta/devices/<UUID>",PATCH,"1.0"
"User changed default security info","https://graph.microsoft.com/v1.0/users/<UUID>/checkMemberGroups",POST,"1.0"
"User changed default security info","https://graph.microsoft.com/v1.0/users/<UUID>/checkMemberObjects",POST,"1.0"
"User deleted security info","https://graph.microsoft.com/beta/users/<UUID>/authentication/fido2Methods/<ID>",DELETE,"1.0"
"User deleted security info","https://graph.microsoft.com/beta/users/<UUID>/authentication/microsoftAuthenticatorMethods/<UUID>",DELETE,"1.0"
"User deleted security info","https://graph.microsoft.com/beta/users/<UUID>/authentication/temporaryAccessPassMethods/<UUID>",DELETE,"1.0"
"User deleted security info","https://graph.microsoft.com/v1.0/users/<UUID>/checkMemberGroups",POST,"1.0"
"User deleted security info","https://graph.microsoft.com/v1.0/users/<UUID>/checkMemberObjects",POST,"1.0"
"User registered all required security info","https://graph.microsoft.com/v1.0/users/<UUID>/checkMemberGroups",POST,"1.0"
"User registered all required security info","https://graph.microsoft.com/v1.0/users/<UUID>/checkMemberObjects",POST,"1.0"
"User registered security info","https://graph.microsoft.com/beta/users/<UUID>/authentication/fido2Methods/",POST,"1.0"
"User registered security info","https://graph.microsoft.com/v1.0/users/<UUID>/checkMemberGroups",POST,"1.0"
"User registered security info","https://graph.microsoft.com/v1.0/users/<UUID>/checkMemberObjects",POST,"1.0"
"User requests access package assignment","https://graph.microsoft.com/beta/groups/<UUID>/members/$ref",POST,"1.0"
"User started password change","https://graph.microsoft.com/beta/users/<UUID>/authentication/passwordMethods/<UUID>/changePassword",POST,"1.0"
"User started password change","https://graph.microsoft.com/beta/users/<UUID>/changePassword",POST,"1.0"
"User started password change","https://graph.microsoft.com/v1.0/me/changePassword",POST,"1.0"
"User started password reset","https://graph.microsoft.com/beta/users/<UUID>/authentication/passwordMethods/<UUID>/resetPassword",POST,"1.0"
"User started password reset","https://graph.microsoft.com/v1.0/users/<UPN>",PATCH,"1.0"
"User started security info registration","https://graph.microsoft.com/v1.0/users/<UUID>/checkMemberGroups",POST,"1.0"
"User started security info registration","https://graph.microsoft.com/v1.0/users/<UUID>/checkMemberObjects",POST,"1.0"
